,Brand_name,Brand_detail_name,prices,RAM,Storage,Has_ssd,Core,Gen,Discount_Percentage,Operating_System,Warranty_Period,Space_Score
0,Tecno,Tecno Megabook T1 Laptop ,29990,16,512,1,i5,11,32.0,11,1,0
1,Tecno,Tecno Megabook T1 Laptop ,23990,8,512,1,i3,11,19.0,11,1,0
2,HP,HP 15s-fq5007TU Laptop ,36990,8,512,1,i3,12,4.0,11,1,0
3,Infinix,Infinix Zerobook 2023 Laptop ,59990,32,1024,1,i9,13,19.0,11,1,0
4,HP,HP 15s-fr5011TU Laptop ,53990,16,512,1,i5,12,3.0,11,1,0
5,Asus,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop ,49990,8,512,1,i5,11,6.0,11,1,0
6,Samsung,Samsung Galaxy Book2 Pro 13 Laptop ,64990,16,512,1,i5,12,8.0,11,1,0
7,Apple,Apple MacBook Air 2020 MGND3HN Laptop ,74990,8,256,1,,,6.0,11,1,45
8,HP,HP Victus 15-fb0157AX Gaming Laptop ,50999,8,512,1,,,3.0,11,1,0
9,HP,HP Victus 16-s0094AX Gaming Laptop ,80990,16,1024,1,,,5.0,11,1,0
10,Lenovo,Lenovo V15 82KDA01BIH Laptop ,28490,8,512,1,,,4.0,11,1,0
11,HP,HP Victus 15-fb1017AX Gaming Laptop ,56490,16,512,1,,,5.0,11,1,0
12,Lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop ,47990,8,512,1,i5,11,4.0,11,1,0
13,Acer,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop ,52990,16,512,1,i5,12,4.0,11,1,0
14,Acer,Acer Aspire Lite 15 AL15-52 Laptop ,34890,16,512,1,i3,12,,11,1,0
15,Lenovo,Lenovo LOQ 15IRX9 83DV007FIN Gaming Laptop ,122990,16,1024,1,i7,14,,11,1,0
16,Lenovo,Lenovo ThinkBook 15 G5 21JF002JIN Laptop ,33990,8,512,1,,,7.0,11,1,0
17,Asus,Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop ,53990,16,512,1,i5,11,6.0,11,1,0
18,MSI,MSI Modern 14 C7M-062IN Laptop ,37990,16,512,1,,,12.0,11,1,0
19,Dell,Dell Inspiron 3520 D560896WIN9B Laptop ,34120,8,512,1,i3,12,8.0,11,1,0
20,Acer,Acer Aspire Lite 15 AL15-52 Laptop ,36990,16,1024,1,i3,12,,11,1,0
21,Lenovo,Lenovo Legion Pro 5 161IRX9 Laptop ,149990,32,1024,1,i9,14,,11,1,0
22,Infinix,Infinix INBook Y2 Plus Laptop ,34990,16,512,1,i5,11,,11,1,56
23,Lenovo,Lenovo IdeaPad Slim 3 82H803LKIN Laptop ,47600,16,512,1,i5,11,2.0,11,1,0
24,Xiaomi,Xiaomi Redmi Book 16 2024 Laptop ,52990,16,512,1,i5,13,,11,1,0
25,Samsung,Samsung Galaxy Book 4 360 Laptop ,129900,16,512,1,i7,13,,11,1,0
26,MSI,MSI Katana 15 B13UDXK-1482IN Gaming Laptop ,74990,32,1024,1,i5,13,16.0,11,1,0
27,Asus,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop ,75990,16,1024,1,i7,11,3.0,11,1,0
28,HP,HP Victus 15-fa1062TX Gaming Laptop ,83999,16,512,1,i5,13,10.0,11,1,0
29,Acer,Acer Nitro V ANV15-51 2023 Gaming Laptop ,77990,16,512,1,i5,13,1.0,11,1,0
30,Lenovo,Lenovo Legion 9i 2023 Laptop ,399999,32,1024,1,i9,13,,11,1,0
31,Asus,Asus Vivobook 15 X1502ZA-EJ741WS Laptop ,59990,16,512,1,i7,12,2.0,11,1,0
32,HP,HP 255 G9 840T7PA Laptop ,19940,4,256,1,,,,11,1,49
33,Asus,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop ,99990,16,512,1,i7,12,6.0,11,1,0
34,HP,HP Pavilion 15-eg3081TU Laptop ,70990,16,512,1,i5,13,1.0,11,1,0
35,HP,HP Victus 15-fa0666TX Gaming Laptop ,69599,16,512,1,i5,12,2.0,11,1,0
36,MSI,MSI Modern 14 C7M-063IN Laptop ,31990,8,512,1,,,19.0,11,1,0
37,MSI,MSI Sword 15 A12VF-401IN Gaming Laptop ,96990,16,1024,1,i7,12,8.0,11,1,0
38,Samsung,Samsung Galaxy Book2 NP550XED-KA2IN Laptop ,47990,16,512,1,i5,12,6.0,11,1,0
39,Asus,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop ,57390,16,512,1,,,,11,1,0
40,MSI,MSI Titan 18 HX Gaming Laptop ,599990,32,2048,1,i9,14,,11,1,0
41,HP,HP Victus 15-fa1145TX Gaming Laptop ,65990,16,1024,1,i5,12,6.0,11,1,0
42,Acer,Acer Aspire Lite AL15-52 Laptop ,42990,16,512,1,i5,12,3.0,11,1,0
43,Apple,Apple MacBook Pro 16 2023 Laptop ,399900,48,1024,1,,,,11,1,0
44,Dell,Dell Inspiron 3530 Laptop ,72890,16,512,1,i7,13,1.0,11,1,57
45,Asus,Asus Vivobook 15 X1502ZA-EJ385WS Laptop ,39990,8,512,1,i3,12,1.0,11,1,57
46,Lenovo,Lenovo Yoga Slim 6 14IAP8 82WU0095IN Laptop ,64519,16,512,1,i5,12,1.0,11,1,0
47,Lenovo,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop ,44990,8,512,1,,,9.0,11,1,0
48,Asus,Asus Vivobook 15 X1502ZA-EJ544WS Laptop ,53590,16,512,1,i5,12,8.0,11,1,0
49,HP,HP 15S-FQ5202TU Laptop ,49490,8,512,1,i5,12,5.0,11,1,57
50,HP,HP Victus 15-fb1015AX Gaming Laptop ,50990,8,512,1,,,3.0,11,1,0
51,MSI,MSI Modern 14 C12M-459IN Laptop ,49990,16,512,1,i7,12,2.0,11,1,0
52,Wings,Wings Nuvobook V1 Laptop ,34990,8,512,1,i5,11,20.0,11,1,56
53,Asus,Asus VivoBook 15 X1500EA-EJ326WS Laptop ,29790,8,512,1,i3,11,10.0,11,1,54
54,Lenovo,Lenovo V15 G4 ‎82YU00W7IN Laptop ,29990,8,512,1,,,2.0,11,1,59
55,Acer,Acer Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop ,89990,16,1024,1,i7,12,6.0,11,1,0
56,Dell,Dell Vostro 3510 Laptop 2023 ,43490,8,1024,1,i5,11,6.0,11,1,0
57,HP,HP Victus 15-fa0998TX Gaming Laptop ,68999,16,512,1,i5,12,4.0,11,1,0
58,HP,HP 14s-dy5008TU Laptop ,39891,8,512,1,i3,12,2.0,11,1,0
59,Asus,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop ,46990,8,512,1,,,4.0,11,1,0
60,Asus,Asus Vivobook 15 Touch X515EA-EZ311WS Laptop ,31990,8,512,1,i3,11,7.0,11,1,56
61,Apple,Apple MacBook Air 2022 Laptop ,102990,8,256,1,,,1.0,11,1,48
62,Dell,Dell G15-5520 Laptop ,71490,16,512,1,i5,12,2.0,11,1,0
63,Samsung,Samsung Galaxy Book2 Pro 360 13 Laptop ,87990,16,512,1,i7,12,20.0,11,1,0
64,HP,HP 14s-fq1092au Laptop ,39990,8,512,1,,,5.0,11,1,0
65,Dell,Dell Precision 5550 Laptop ,184999,16,512,1,i7,10,,11,1,0
66,Lenovo,Lenovo IdeaPad Slim 3 15IAH8 83ER008HIN Laptop ,55390,16,512,1,i5,12,,11,1,0
67,Chuwi,Chuwi Ubook X Laptop ,39990,12,512,1,i3,10,,11,1,51
68,Lenovo,Lenovo IdeaPad Slim 3 83EM0026IN Laptop ,60990,16,512,1,i5,13,5.0,11,1,59
69,Lenovo,Lenovo LOQ 15IRX9 83DV007JIN Gaming Laptop ,84990,16,512,1,i5,13,,11,1,0
70,HP,HP Spectre x360 16-aa0664TX Laptop ,199999,32,1024,1,,,,11,1,0
71,Lenovo,Lenovo IdeaPad Gaming 3 15ACH6 82K2029CIN Laptop ,48990,16,512,1,,,,11,1,0
72,HP,HP Pavilion x360 14-ek0183TU Laptop ,65622,8,512,1,i3,12,,11,1,0
73,Asus,Asus Vivobook 14X K3405ZF-LY752WS  Laptop ,74890,16,1024,1,i7,12,,11,1,0
74,HP,HP 15s-fr5010TU Laptop ,49990,8,512,1,i5,12,6.0,11,1,59
75,HP,HP Omen 16-wf1025TX Gaming Laptop ,153990,16,1024,1,i7,14,,11,1,0
76,HP,HP Pavilion 15-eh1047AU Laptop ,64094,16,1024,1,,,,11,1,0
77,Asus,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop ,89990,16,512,1,,,8.0,11,1,0
78,Dell,Dell G15-5530 Gaming Laptop ,83990,16,1024,1,i5,13,5.0,11,1,0
79,Asus,Asus Zenbook 14 OLED UX3405 Laptop ,149990,16,512,1,,,,11,1,0
80,Samsung,Samsung Galaxy Book 4 Pro 360 Laptop ,199990,16,512,1,,,,11,1,0
81,Lenovo,Lenovo IdeaPad Slim 3 82H803HQIN Laptop ,39990,8,512,1,i5,11,8.0,11,1,0
82,Samsung,Samsung Galaxy Book 4 Ultra Laptop ,299999,32,1024,1,,,,11,1,0
83,Xiaomi,Xiaomi Redmi Book 14 2024 Laptop ,49990,16,512,1,i5,13,,11,1,0
84,Lenovo,Lenovo Ideapad Slim 5 82XF0078IN Laptop ,96989,16,1024,1,i7,13,7.0,11,1,0
85,Lenovo,Lenovo V15 G4 Laptop ,24590,8,512,1,,,3.0,11,1,47
86,HP,HP 15s-FR5012TU Laptop ,37990,8,512,1,i3,12,8.0,11,1,57
